pde,condition,step,pde_transformer_raw,pde_ttt_raw_3seed_mean,pde_ttt_raw_3seed_std,mean_difference,winning_seed_count
gs_kappa,ood_low,1,0.0498634,0.050578881469037766,0.0025597249693008724,0.0007154814690377639,2
gs_kappa,ood_low,10,0.390083,0.3420561982525719,0.01925362675543282,-0.04802680174742809,3
gs_kappa,ood_low,20,0.762802,0.7271019087897406,0.01700446514216468,-0.035700091210259334,3
gs_kappa,ood_low,29,0.906465,0.8908600608507792,0.012740402200489971,-0.015604939149220712,3
gs_kappa,ood_high,1,0.0420166,0.04531077088581187,0.0024502181984827225,0.0032941708858118673,0
gs_kappa,ood_high,10,0.366025,0.3610423670874701,0.029365845755647522,-0.0049826329125298345,1
gs_kappa,ood_high,20,0.791563,0.7392502692010668,0.03458270052727363,-0.05231273079893325,3
gs_kappa,ood_high,29,1.00926,0.9771362410651312,0.03437712904296451,-0.032123758934868775,2
sh,id,1,0.0731825,0.06135962717235083,0.006717099686834615,-0.011822872827649164,3
sh,id,10,0.386558,0.39391599926683635,0.05626897596071937,0.007357999266836353,1
sh,id,20,0.656523,0.6012745300928751,0.04851704375900768,-0.05524846990712481,3
sh,id,29,0.733263,0.6594447394212087,0.07477198663922585,-0.0738182605787913,3
sh,ood_low,1,0.135451,0.09596413001418107,0.03149304090781559,-0.03948686998581892,3
sh,ood_low,10,0.724886,0.6489690707789527,0.2180584500081451,-0.07591692922104731,2
sh,ood_low,20,1.36984,1.1793473727173276,0.3267377612080391,-0.19049262728267233,2
sh,ood_low,29,1.23171,1.1255978991587956,0.03734750939336288,-0.10611210084120433,3
sh,ood_high,1,0.0615388,0.0882711675431993,0.01640602254100994,0.026732367543199298,0
sh,ood_high,10,0.320324,0.3697510229216681,0.01754810219967949,0.04942702292166814,0
sh,ood_high,20,0.514879,0.5816072523593903,0.03635697888449303,0.06672825235939028,0
sh,ood_high,29,0.579725,0.6528298623032041,0.04836368198867956,0.07310486230320397,0
decay_turb,id,1,0.14001,0.13523945543501106,0.00601252742450989,-0.004770544564988923,2
decay_turb,id,10,0.411781,0.3900838428073459,0.04336241949164531,-0.0216971571926541,2
decay_turb,id,20,0.39538,0.3641184783644147,0.01538390988560065,-0.031261521635585376,3
decay_turb,id,29,0.415107,0.4181851165162192,0.07702594208372583,0.0030781165162192168,2
decay_turb,ood_low,1,0.20982,0.19689202225870553,0.008249395514648315,-0.012927977741294469,3
decay_turb,ood_low,10,0.622593,0.6089208755228254,0.04901349749643337,-0.01367212447717451,1
decay_turb,ood_low,20,0.587036,0.5951462686061859,0.025546176012928204,0.00811026860618591,2
decay_turb,ood_low,29,0.542205,0.5829380253950754,0.03847739471644149,0.04073302539507543,0
decay_turb,ood_high,1,0.128897,0.11206226878696013,0.0037485571912998132,-0.016834731213039883,3
decay_turb,ood_high,10,0.36201,0.3182799816131592,0.0106341582133098,-0.04373001838684084,3
decay_turb,ood_high,20,0.373218,0.3076232704851362,0.1002698515824764,-0.0655947295148638,2
decay_turb,ood_high,29,0.431633,0.3799398500058386,0.23399091708114067,-0.05169314999416139,2
kolm_flow,id,1,0.0873364,0.07197216732634437,0.0016861517759169287,-0.015364232673655628,3
kolm_flow,id,10,0.577853,0.6309743788507249,0.19073880622679779,0.05312137885072501,1
kolm_flow,id,20,0.875178,1.0316400196817186,0.17552385382573646,0.15646201968171858,0
kolm_flow,id,29,1.19354,1.1790871885087755,0.03630729870282406,-0.014452811491224496,2
kolm_flow,ood_low,1,0.162615,0.14259198639127943,0.0023459451949651893,-0.02002301360872058,3
kolm_flow,ood_low,10,0.524733,0.6193672319253286,0.19907071409151264,0.09463423192532855,1
kolm_flow,ood_low,20,0.901434,1.0648758278952704,0.10308137783547072,0.1634418278952705,0
kolm_flow,ood_low,29,1.15741,1.2209654781553478,0.039001539652644454,0.06355547815534794,0
kolm_flow,ood_high,1,0.0624183,0.05199566317929157,0.0008021328374096275,-0.010422636820708436,3
kolm_flow,ood_high,10,0.344832,0.4668762899107403,0.22735848500253034,0.12204428991074029,1
kolm_flow,ood_high,20,0.820774,0.9302162296242183,0.19063955298689397,0.1094422296242183,1
kolm_flow,ood_high,29,1.12215,1.2053390343983967,0.048127673219331736,0.08318903439839682,0
